Ticker	AssetClass	ExpenseRatio	Price	Change1	Change2	SECYield	YTD	Year1	Year5	Year10	Inception
VBK	Stock - Small-Cap Growth	0.07%	$145.75	$0.69	0.48%	0.91%B	9.95%	18.99%	12.91%	7.89%	8.92% (01/26/2004)
VBR	Stock - Small-Cap Value	0.07%	$122.55	$0.13	0.10%	1.86%B	2.05%	19.10%	15.00%	7.48%	9.10% (01/26/2004)
VTEB	Bond - Long-term National Muni	0.09%	$51.19	$0.02	0.04%	1.97%A	2.86%	-0.82%	—	—	3.05% (08/21/2015)
VOX	Stock - Sector	0.10%	$89.37	-$0.99	-1.09%	3.50%B	-9.19%	-3.43%	10.16%	4.42%	8.09% (09/23/2004)
BND	Bond - Inter-term Investment	0.05%	$81.47	$0.07	0.09%	2.40%A	2.10%	-0.56%	2.11%	4.42%	4.27% (04/03/2007)
BNDX	International	0.12%	$54.04	-$0.06	-0.11%	0.75%A	0.08%	-0.68%	—	—	3.69% (05/31/2013)
VXUS	International	0.11%	$52.06	$0.18	0.35%	—	15.11%	20.19%	7.68%	—	3.68% (01/26/2011)
VTI	Stock - Large-Cap Blend	0.04%	$124.56	-$0.05	-0.04%	1.86%B	9.04%	18.49%	14.55%	7.39%	6.69% (05/24/2001)
VT	International	0.11%	$67.60	$0.08	0.12%	—	12.04%	18.93%	10.96%	—	5.68% (06/24/2008)
VPU	Stock - Sector	0.10%	$112.97	-$0.07	-0.06%	3.32%B	7.27%	3.14%	11.63%	7.08%	10.09% (01/26/2004)
VTV	Stock - Large-Cap Value	0.06%	$96.47	-$0.20	-0.21%	2.50%B	5.04%	16.54%	14.39%	5.84%	7.81% (01/26/2004)
